"Kingdom","Phylum","Class","Order","Family","Sequence_ID"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064822__17327"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19065025__1844"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","ERR10819069__14933"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064844__36757"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR10403518__9404"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064751__13494"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","ERR10838090__1976"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064598__11287"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064924__7586"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064593__13992"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","DRR480382__1478"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR10983019__60771"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR10403558__24019"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064565__24890"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","DRR480379__21426"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","DRR480285__6202"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064643__56050"
