"Kingdom","Phylum","Class","Order","Family","Genus","Species"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Metamycoplasma","s__Metamycoplasma_faucium"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Metamycoplasma","s__Metamycoplasma_orale"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Metamycoplasma","s__[Mycoplasma]_anseris"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Metamycoplasma","s__Metamycoplasma_hominis"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Metamycoplasma","s__Metamycoplasma_arthritidis"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Metamycoplasma","s__Metamycoplasma_canadense"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Metamycoplasma","s__Metamycoplasma_spumans"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Mariniplasma","s__Mariniplasma_anaerobium"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Candidatus_Phytoplasma","s__Mulberry_dwarf_phytoplasma"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Candidatus_Phytoplasma","s__Paulownia_witches'-broom_phytoplasma"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Candidatus_Phytoplasma","s__Candidatus_Phytoplasma_mali"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Candidatus_Phytoplasma","s__Aster_yellows_witches'-broom_phytoplasma"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Candidatus_Phytoplasma","s__Candidatus_Phytoplasma_australiense"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Candidatus_Phytoplasma","s__Phytoplasma_sp."
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Candidatus_Phytoplasma","s__Candidatus_Phytoplasma_luffae"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Candidatus_Phytoplasma","s__Candidatus_Phytoplasma_ziziphi"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Candidatus_Phytoplasma","s__Candidatus_Phytoplasma_solani"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Candidatus_Phytoplasma","s__Candidatus_Phytoplasma_rubi"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Candidatus_Phytoplasma","s__Candidatus_Phytoplasma_fraxini"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Paracholeplasma","s__Paracholeplasma_brassicae"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Acholeplasma","s__Acholeplasma_hippikon"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Acholeplasma","s__Acholeplasma_laidlawii"
